condition,persona,tracker_domain,total_requests,num_sites,total_tp_for_group,share_of_third_party_requests
persona_only,adult,adnxs.com,103,18,13667,0.007536401551181678
persona_only,adult,criteo.com,172,16,13667,0.012585058901002415
persona_only,adult,doubleclick.net,503,36,13667,0.03680398039072218
persona_only,adult,facebook.com,59,18,13667,0.004316967878832224
persona_only,adult,facebook.net,62,15,13667,0.004536474720128777
persona_only,adult,google-analytics.com,32,7,13667,0.00234140630716324
persona_only,adult,googlesyndication.com,328,22,13667,0.023999414648423208
persona_only,adult,googletagmanager.com,179,27,13667,0.013097241530694373
persona_only,adult,scorecardresearch.com,92,19,13667,0.006731543133094315
persona_only,adult,twitter.com,8,5,13667,0.00058535157679081
persona_only,adult,youtube.com,4,1,13667,0.000292675788395405
persona_only,child,adnxs.com,113,10,9883,0.01143377516948295
persona_only,child,criteo.com,90,7,9883,0.009106546595163412
persona_only,child,doubleclick.net,270,26,9883,0.027319639785490235
persona_only,child,facebook.com,5,3,9883,0.0005059192552868562
persona_only,child,facebook.net,20,5,9883,0.0020236770211474247
persona_only,child,google-analytics.com,165,23,9883,0.016695335424466256
persona_only,child,googlesyndication.com,222,16,9883,0.022462814934736414
persona_only,child,googletagmanager.com,158,28,9883,0.015987048467064658
persona_only,child,scorecardresearch.com,13,4,9883,0.0013153900637458262
persona_only,child,twitter.com,2,1,9883,0.0002023677021147425
persona_only,child,youtube.com,36,3,9883,0.0036426186380653647
same_sites,adult,adnxs.com,8,3,1841,0.0043454644215100485
same_sites,adult,criteo.com,12,3,1841,0.006518196632265073
same_sites,adult,doubleclick.net,25,10,1841,0.013579576317218903
same_sites,adult,facebook.com,9,5,1841,0.004888647474198805
same_sites,adult,facebook.net,2,1,1841,0.0010863661053775121
same_sites,adult,google-analytics.com,7,2,1841,0.0038022813688212928
same_sites,adult,googlesyndication.com,1,1,1841,0.0005431830526887561
same_sites,adult,googletagmanager.com,14,7,1841,0.0076045627376425855
same_sites,adult,scorecardresearch.com,7,3,1841,0.0038022813688212928
same_sites,adult,twitter.com,2,2,1841,0.0010863661053775121
same_sites,child,adnxs.com,9,3,1751,0.005139920045688178
same_sites,child,criteo.com,10,3,1751,0.0057110222729868645
same_sites,child,doubleclick.net,27,10,1751,0.015419760137064534
same_sites,child,facebook.com,10,5,1751,0.0057110222729868645
same_sites,child,facebook.net,2,1,1751,0.001142204454597373
same_sites,child,google-analytics.com,7,2,1751,0.003997715591090805
same_sites,child,googlesyndication.com,1,1,1751,0.0005711022272986865
same_sites,child,googletagmanager.com,16,7,1751,0.009137635636778984
same_sites,child,scorecardresearch.com,7,3,1751,0.003997715591090805
same_sites,child,twitter.com,2,2,1751,0.001142204454597373
