website,privacy_policy_present,privacy_policy_url,asks_personal_data,parental_consent_mentioned,total_third_party_domains,third_party_domains_list,ads_detected,ad_types,ad_indicator_score,child_friendly_ui,ui_score_percentage,coppa_score,coppa_percentage,coppa_compliant,coppa_issues
https://pbskids.org,Yes,https://pbskids.org/privacy,No,No,4,"googletagmanager.com, w3.org, pbs.org, sentry.io",Yes,"Display, Video",22,Not Child-Friendly,38.0%,3/8,37.5%,No,No child section in privacy policy; No parental consent mechanism; Insufficient data disclosure; No age verification; Advertising detected
https://www.nickjr.com,Yes,https://privacy.paramount.com/childrens-short,No,No,19,"nick.com, tvguidelines.org, comnull, onetrust.com, paramount.com, paramount.tech, apple.com, github.com, newrelic.com, cookielaw.org, transaction, google.com, mtvnservices.com, w3.org, cbsi.com...",Yes,Display,8,Highly Child-Friendly,78.0%,2/8,25.0%,No,No child section in privacy policy; No parental consent mechanism; Insufficient data disclosure; No age verification; Too many third-parties (19); Advertising detected
https://disneyjunior.disney.com,Yes,https://privacy.thewaltdisneycompany.com/current-privacy-policy/,No,No,10,"cloudfront.net, thewaltdisneycompany.com, espn.com, edgedatg.com, disneytermsofuse.com, tvguidelines.org, go.com, disneynow.com, adobe.com, schema.org",Yes,"Display, Banner",5,Moderately Child-Friendly,40.0%,4/8,50.0%,No,No parental consent mechanism; No age verification; Too many third-parties (10); Advertising detected
https://www.sesamestreet.org,No,Not Found,No,No,14,"lernerbooks.com, amazon.com, sesameworkshop.org, sesameplace.com, sesamestreetlive.com, jwplayer.com, osano.com, roblox.com, cloudflare.com, americandream.com, beaches.com, ead.me, googletagmanager.com, cottagedoorpress.com",Likely,None detected,2,Not Child-Friendly,33.0%,1/8,12.5%,No,No privacy policy; No age verification; Too many third-parties (14); Advertising detected
https://kids.nationalgeographic.com,Yes,https://privacy.thewaltdisneycompany.com/en/current-privacy-policy/,No,No,13,"thewaltdisneycompany.com, nielsen.com, espn.com, ensighten.com, ngmservice.com, trustarc.com, disneyprivacycenter.com, shopdisney.com, disneytermsofuse.com, natgeokids.com, nationalgeographic.org, natgeofe.com, facebook.com",Yes,Display,41,Moderately Child-Friendly,58.0%,5/8,62.5%,Yes,No age verification; Too many third-parties (13); Advertising detected
https://www.abcya.com,No,Not Found,No,No,1,googletagmanager.com,No,Display,1,Not Child-Friendly,23.0%,3/8,37.5%,No,No privacy policy; No age verification
https://www.starfall.com,Yes,https://teach.starfall.com/privacy,No,No,0,,Yes,"Display, Banner",13,Not Child-Friendly,32.0%,5/8,62.5%,Yes,No parental consent mechanism; No age verification; Advertising detected
https://www.funbrain.com,No,Not Found,No,No,5,"cloudfront.net, scorecardresearch.com, ravenjs.com, googletagmanager.com, schema.org",No,None detected,0,Not Child-Friendly,26.0%,3/8,37.5%,No,No privacy policy; No age verification
https://www.poptropica.com,Yes,https://www.poptropica.com/privacyp,No,No,29,"youtube.com, xmlns.com, btloader.com, truex.com, instagram.com, coolmath4teachers.com, googleapis.com, facebook.com, coolmath4kids.com, twitter.com, coolmath.com, tiktok.com, visualwebsiteoptimizer.com, rdfs.org, coolmath4parents.com...",Yes,Display,137,Highly Child-Friendly,70.0%,2/8,25.0%,No,Cannot access privacy policy; No age verification; Too many third-parties (29); Advertising detected
https://www.cartoonnetwork.com,Yes,https://www.cartoonnetwork.com/privacy,No,No,11,"warnermediacdn.com, hbomax.com, w3.org, discomax.com, wbd.com, signalsciences.net, CartoonNetwork.com, warnermediaprivacy.com, sentry-cdn.com, go-mpulse.net, googletagmanager.com",Yes,Display,58,Moderately Child-Friendly,51.0%,4/8,50.0%,No,No parental consent mechanism; No age verification; Too many third-parties (11); Advertising detected
https://www.highlightskids.com,Yes,https://www.highlights.com/content/highlights-kids-privacy-policy,No,No,12,"bitsbox.com, youtube.com, amazon.com, apple.com, abtasty.com, w3.org, azureedge.net, highlights.com, onelink.me, bohemiancoding.com, googletagmanager.com, google.com",Yes,"Display, Banner",34,Highly Child-Friendly,82.0%,4/8,50.0%,No,No parental consent mechanism; No age verification; Too many third-parties (12); Advertising detected
https://kids.scholastic.com,Yes,https://kids.scholastic.com/content/kids64/en/privacy-kids.html,No,No,4,"googleapis.com, w3.org, cloudflare.com, schema.org",Yes,"Display, Popup",7,Moderately Child-Friendly,46.0%,6/8,75.0%,Yes,No age verification; Advertising detected
https://www.crayola.com,Yes,https://www.crayola.com/privacy-policy,Yes,No,13,"crayolacreateandplay.com, azure.com, crayola.ca, levelaccess.com, apple.com, w3.org, scribblescrubbiepets.app, cloudflare.com, bc0a.com, microsoft.com, googletagmanager.com, monetate.net, likebtn.com",Yes,"Display, Banner",29,Highly Child-Friendly,78.0%,4/8,50.0%,No,No parental consent mechanism; No age verification; Too many third-parties (13); Advertising detected
https://kids.lego.com,No,Not Found,No,No,1,LEGO.com,Likely,None detected,3,Not Child-Friendly,20.0%,2/8,25.0%,No,No privacy policy; No age verification; Advertising detected
https://www.fisher-price.com,Yes,https://mattelsupport.com/privacy-statement/,Yes,No,39,"mattelsupport.com, gstatic.com, myshopify.com, youtube.com, flaglog.com, mattel.com, megaconstrux.com, googleapis.com, klaviyo.com, contentstack.io, barbie.com, optimizely.com, netlify.app, bazaarvoice.com, searchspring.net...",Yes,"Display, Popup",461,Moderately Child-Friendly,58.0%,5/8,62.5%,Yes,No age verification; Too many third-parties (39); Advertising detected
https://www.coolmathgames.com,Yes,https://www.coolmathgames.com/privacyp,No,No,20,"youtube.com, coolmath4teachers.com, instagram.com, facebook.com, coolmath4kids.com, twitter.com, coolmath.com, google-analytics.com, tiktok.com, visualwebsiteoptimizer.com, coolmath4parents.com, apple.com, intergient.com, x.com, googletagmanager.com...",Yes,Display,388,Highly Child-Friendly,80.0%,5/8,62.5%,Yes,No age verification; Too many third-parties (20); Advertising detected
https://www.brainpop.com,No,Not Found,No,No,4,"newrelic.com, github.com, googletagmanager.com, transaction",No,None detected,1,Not Child-Friendly,20.0%,3/8,37.5%,No,No privacy policy; No age verification
https://www.funology.com,Yes,https://www.funology.com/privacy-policy,No,No,15,"w.org, bigfishpond.com, grmtas.com, googlesyndication.com, fastclick.net, gourmetads.com, godaddy.com, thedenleader.com, pinterest.com, googleapis.com, twitter.com, media.net, googletagmanager.com, facebook.com, schema.org",Yes,Display,26,Moderately Child-Friendly,59.0%,4/8,50.0%,No,No parental consent mechanism; No age verification; Too many third-parties (15); Advertising detected
